Map Colour,Hexidecimal ID,Province Name,Province Owner,Region
,12B,Corwen,England,Wales
,12C,Rhyl,England,Wales
,12D,Dolgellau,England,Wales
,12E,Caernarfon,England,Wales
,12F,Anglesey,England,Wales
,130,Channel Islands,England,Normandy
,131,Brest,Brittany,Brittany
,132,Penmarch,Brittany,Brittany
,133,Lannion,Brittany,Brittany
,134,Carnoët,Brittany,Brittany
,135,Quimperlé,Brittany,Brittany
,136,Vannes,Brittany,Brittany
,137,Loudéac,Brittany,Brittany
,138,Saint-Brieuc,Brittany,Brittany
,139,Dinan,Brittany,Brittany
,13A,Gaël,Brittany,Brittany
,13B,Questembert,Brittany,Brittany
,13C,Saint-Nazaire,Brittany,Brittany
,13D,Nantes,Brittany,Brittany
,13E,Pornic,Brittany,Brittany
,13F,Nort-sur-Erdre,Brittany,Brittany
,140,Bain-de-Bretagne,Brittany,Brittany
,141,Rennes,Brittany,Brittany
,142,Dol-Combourg,Dol-Combourg,Brittany
,143,St Malo,Brittany,Brittany
,144,Cherbourg,France,Normandy
,145,Saint-Lo,France,Normandy
,146,Avranches,France,Normandy
,147,Clécy,France,Normandy
,148,Bayeux,France,Normandy
,149,Caen,France,Normandy
,14A,Falaise,France,Normandy
,14B,Cabourg,France,Normandy
,14C,Honfleur,France,Normandy
,14D,Lisieux,France,Normandy
,14E,Brionne,France,Normandy
,14F,Bourneville,France,Normandy
,150,Le Havre,France,Normandy
,151,Le Trait,France,Normandy
,152,Saint-Valery-en-Caux,Dunois,Normandy
,153,Dieppe,France,Normandy
,154,Le Tréport,Nevers,Normandy
,155,Domfront,Alençon,Normandy
,156,Argentan,Alençon,Normandy
,157,L'Aigle,Alençon,Normandy
,158,Alençon,Alençon,Maine
,159,La Chapelle-Montligeon,Alençon,Maine
,15A,La Loupe,Alençon,Maine
,15B,La Rouge,Alençon,Maine
,15C,Mayenne,France,Maine
,15D,Laval,France,Maine
,15E,Croan,France,Maine
,15F,Angers,France,Maine
,160,Beaupréau,France,Maine
,161,Samur,France,Maine
,162,Sablé-sur-Sarthe,France,Maine
,163,La Flèche,France,Maine
,164,Le Mans,France,Maine
,165,Mulsanne,France,Maine
,166,Bauge,France,Maine
,167,Langeais,France,Orléanais
,168,Chinon,France,Maine
,169,Saché,France,Orléanais
,16A,Tauxigny,France,Orléanais
,16B,Tours,France,Orléanais
,16C,Vendôme,Vendôme,Orléanais
,16D,Dunois,Dunois,Orléanais
,16E,Chenonceaux,France,Orléanais
,16F,Blois,France,Orléanais
,170,Pontlevoy,France,Orléanais
,171,Bracieux,France,Orléanais
,172,Dhuizon,France,Orléanais
,173,La Ferté-Saint-Aubin,France,Orléanais
,174,Orléans,France,Orléanais
,175,Loury,France,Orléanais
,176,Montargis,France,Orléanais
,177,Montargis,Nemours,Île-de-France
,178,Neuville-aux-Bois,France,Orléanais
,179,Chartres,France,Orléanais
,17A,Ivry,France,Normandy
,17B,Mantois,France,Île-de-France
,17C,Dourdan,France,Île-de-France
,17D,Giverny,France,Île-de-France
,17E,Versailles,France,Île-de-France
,17F,Fontainebleau,France,Île-de-France
,180,Beauvais,France,Île-de-France
,181,Rouen,Valentinois,Île-de-France
,182,Mienois,France,Picardie
,183,Le Crotoy,France,Picardie
,184,Boulogne-sur-Mer,France,Picardie
,185,Montreuil,France,Picardie
,186,Calais,France,Picardie
,187,Amiens,France,Picardie
,188,Boves,France,Picardie
,189,Saint-Quentin,France,Picardie
,18A,Ham,Bourbon,Île-de-France
,18B,Senlis,France,Île-de-France
,18C,Vertix,Valentinois,Île-de-France
,18D,Paris,France,Île-de-France
,18E,Chessy,France,Île-de-France
,18F,Meaux,France,Île-de-France
,190,Ribemont,Valois,Île-de-France
,191,Soissons,Valois,Île-de-France
,192,Laon,France,Île-de-France
,193,Fresnoy-le-Grand,France,Picardie
,194,Guise,Nemours,Picardie
,195,Vervins,France,Champagne
,196,Hirson,Nevers,Champagne
,197,,France,Champagne
,198,,France,Champagne
,199,,France,Champagne
,19A,,Vertus,Champagne
,19B,,France,Champagne
,19C,,France,Champagne
,19D,,France,Île-de-France
,19E,Nemours,Nemours,Île-de-France
,19F,,France,Champagne
,1A0,,Nemours,Champagne
,1A1,,France,Champagne
,1A2,,France,Champagne
,1A3,,France,Champagne
,1A4,,Bar,Champagne
,1A5,,Bar,Champagne
,1A6,Bar-le-Duc,Bar,Champagne
,1A7,,Bar,Champagne
,1A8,,Bar,Champagne
,1A9,Gondrecourt,Bar,Champagne
,1AA,Bourmont,Lorraine,Champagne
,1AB,,Lorraine,Champagne
,1AC,,France,Champagne
,1AD,,France,Champagne
,1AE,,France,Champagne
,1AF,,France,Champagne
,1B0,,France,Champagne
,1B1,,France,Champagne
,1B2,Dicy,Nemours,Champagne
,1B3,,France,Champagne
,1B4,,France,Bourgogne
,1B5,,France,Bourgogne
,1B6,Dole,France,Bourgogne
,1B7,Dijon,France,Bourgogne
,1B8,,France,Bourgogne
,1B9,,France,Bourgogne
,1BA,,France,Bourgogne
,1BB,,France,Bourgogne
,1BC,,France,Orléanais
,1BD,,Sancerre,Orléanais
,1BE,,Sancerre,Bourgogne
,1BF,,Sancerre,Bourgogne
,1C0,,Nevers,Bourgogne
,1C1,,Nevers,Bourgogne
,1C2,,Nevers,Bourgogne
,1C3,,Nevers,Bourgogne
,1C4,,Nevers,Bourgogne
,1C5,,France,Bourgogne
,1C6,,France,Bourgogne
,1C7,,France,Bourgogne
,1C8,,France,Bourgogne
,1C9,,France,Bourgogne
,1CA,,France,Bourgogne
,1CB,,France,Bourgogne
,1CC,,France,Orléanais
,1CD,,France,Orléanais
,1CE,Bourges,France,Orléanais
,1CF,,France,Orléanais
,1D0,,France,Orléanais
,1D1,,France,Orléanais
,1D2,,France,Orléanais
,1D3,,France,Poitou
,1D4,,France,Poitou
,1D5,,France,Poitou
,1D6,,France,Poitou
,1D7,,France,Poitou
,1D8,,France,Poitou
,1D9,,Dunois,Poitou
,1DA,,France,Poitou
,1DB,,France,Poitou
,1DC,Noirmoutier,France,Poitou
,1DD,,France,Poitou
,1DE,La Rochelle,France,Poitou
,1DF,,France,Poitou
,1E0,,France,Poitou
,1E1,Cognac,Valois,Poitou
,1E2,Angouleme,Valois,Poitou
,1E3,Chalais,Valois,Poitou
,1E4,,France,Poitou
,1E5,,France,Guyenne
,1E6,,France,Guyenne
,1E7,,France,Guyenne
,1E8,Bordeaux,France,Guyenne
,1E9,,France,Guyenne
,1EA,,France,Guyenne
,1EB,,France,Guyenne
,1EC,,France,Guyenne
,1ED,,Navarre,Guyenne
,1EE,,Navarre,Guyenne
,1EF,,Navarre,Guyenne
,1F0,,Navarre,Auvergne
,1F1,,Navarre,Auvergne
,1F2,,Navarre,Auvergne
,1F3,,Navarre,Auvergne
,1F4,,Navarre,Auvergne
,1F5,,Navarre,Guyenne
,1F6,,France,Guyenne
,1F7,,France,Guyenne
,1F8,,France,Guyenne
,1F9,,Albret,Gascogne
,1FA,,Albret,Gascogne
,1FB,,Albret,Guyenne
,1FC,,France,Guyenne
,1FD,,France,Guyenne
,1FE,,France,Guyenne
,1FF,,France,Gascogne
,200,,France,Gascogne
,201,Bayonne,France,Gascogne
,202,,France,Gascogne
,203,Périgord,Navarre,Gascogne
,204,,France,Gascogne
,205,Périgord,Navarre,Gascogne
,206,Périgord,Navarre,Gascogne
,207,,Alençon,Gascogne
,208,,Alençon,Gascogne
,209,Périgord,Navarre,Gascogne
,20A,Périgord,Navarre,Gascogne
,20B,,Alençon,Gascogne
,20C,,Alençon,Gascogne
,20D,Périgord,Navarre,Gascogne
,20E,Périgord,Navarre,Gascogne
,20F,,France,Gascogne
,210,,France,Languedoc
,211,Toulouse,France,Languedoc
,212,Périgord,Navarre,Languedoc
,213,,France,Languedoc
,214,,France,Languedoc
,215,,France,Languedoc
,216,,France,Languedoc
,217,,France,Languedoc
,218,,France,Languedoc
,219,,France,Languedoc
,21A,,France,Languedoc
,21B,Narbonne,Narbonne,Languedoc
,21C,,France,Languedoc
,21D,Béziers,France,Languedoc
,21E,Montpellier,France,Languedoc
,21F,Ganges,France,Languedoc
,220,,Alençon,Guyenne
,221,Anduze,Alençon,Guyenne
,222,,Alençon,Guyenne
,223,,Alençon,Guyenne
,224,,France,Languedoc
,225,,France,Languedoc
,226,,France,Languedoc
,227,Nimes,France,Languedoc
,228,Arles,France,Languedoc
,229,Navacelles,France,Languedoc
,22A,,France,Provence
,22B,,France,Provence
,22C,Avignon,Papal States,Provence
,22D,Orange,Orange,Provence
,22E,,France,Provence
,22F,,France,Languedoc
,230,Marsielle,France,Provence
,231,,France,Provence
,232,Aix,France,Provence
,233,,France,Provence
,234,,France,Provence
,235,,France,Provence
,236,,France,Provence
,237,,France,Provence
,238,,France,Provence
,239,,France,Provence
,23A,,France,Provence
,23B,,France,Provence
,23C,,France,Provence
,23D,,Valentinois,Provence
,23E,Grenoble,France,Provence
,23F,,France,Provence
,240,,France,Provence
,241,,France,Languedoc
,242,,France,Languedoc
,243,,France,Languedoc
,244,,France,Languedoc
,245,,France,Bourgogne
,246,Lyon,France,Bourgogne
,247,,Bourbon,Auvergne
,248,,Bourbon,Auvergne
,249,,Bourbon,Auvergne
,24A,,Bourbon,Auvergne
,24B,,Bourbon,Auvergne
,24C,,Bourbon,Languedoc
,24D,,Bourbon,Bourgogne
,24E,,Bourbon,Auvergne
,24F,,Bourbon,Auvergne
,250,,Bourbon,Auvergne
,251,,Bourbon,Auvergne
,252,,Bourbon,Bourgogne
,253,,Bourbon,Auvergne
,254,,Bourbon,Auvergne
,255,,Bourbon,Auvergne
,256,,Bourbon,Auvergne
,257,,Bourbon,Auvergne
,258,,Bourbon,Auvergne
,259,,Bourbon,Auvergne
,25A,,Bourbon,Auvergne
,25B,,Bourbon,Auvergne
,25C,,Bourbon,Auvergne
,25D,,Bourbon,Auvergne
,25E,,Bourbon,Auvergne
,25F,,Bourbon,Auvergne
,260,,Bourbon,Auvergne
,261,,Bourbon,Bourgogne
,262,,Bourbon,Bourgogne
,263,,Navarre,Gascogne
,264,,Castile,Navarre
,265,Navarre,Castile,Navarre
,266,,Castile,Navarre
,267,,Castile,Navarre
,268,,Castile,Navarre
,269,Caltrava,Caltrava,Navarre
,26A,Jacetania,Castile,Aragon
,26B,Cinco Villas,Castile,Aragon
,26C,Ayerbe,Castile,Aragon
,26D,Alto Gallego,Castile,Aragon
,26E,Huesca,Castile,Aragon
,26F,Monegros,Castile,Aragon
,270,Sobrabe,Castile,Aragon
,271,Ribargoza,Castile,Aragon
,272,Litera,Castile,Aragon
,273,Bajo Cinca,Castile,Aragon
,274,Bajo Martin,Castile,Aragon
,275,Cuencas Mineras,Castile,Aragon
,276,Campo de Belchite,Castile,Aragon
,277,Zaragoza,Castile,Aragon
,278,Valejalon,Castile,Aragon
,279,Artern,Mansfeld-Mittelort,Thuringia
,27A,Lützen,Merseberg,Upper Saxony
,27B,Aranda,Castile,Aragon
,27C,Campo de Daroca,Castile,Aragon
,27D,Catalayud,Castile,Aragon
,27E,Jiloca,Castile,Aragon
,27F,Teruel,Castile,Aragon
,280,Alta Ribargoza,Castile,Catalonia
,281,Vall d'Aran,Castile,Catalonia
,282,Andorra,Andorra,Catalonia
,283,Pallars Sobira,Castile,Catalonia
,284,Alt Urgell,Castile,Catalonia
,285,Baixa Cerdanya,Castile,Catalonia
,286,Ripolles,Castile,Catalonia
,287,Rousillion,Castile,Catalonia
,288,Alt Emporda,Castile,Catalonia
,289,Girones,Castile,Catalonia
,28A,Baix Emporda,Castile,Catalonia
,28B,Osona,Castile,Catalonia
,28C,Bergueda,Castile,Catalonia
,28D,Solsones,Castile,Catalonia
,28E,Noguera,Castile,Catalonia
,28F,Segria,Castile,Catalonia
,290,Terra Alta,Castile,Catalonia
,291,Selva,Castile,Catalonia
,292,Maresme,Castile,Catalonia
,293,Bages,Castile,Catalonia
,294,Urgell,Castile,Catalonia
,295,Barcalona,Castile,Catalonia
,296,Garraf,Castile,Catalonia
,297,Tarragones,Castile,Catalonia
,298,Baix Camp,Castile,Catalonia
,299,Ribera d'Ebre,Castile,Catalonia
,29A,Montsia,Castile,Catalonia
,29B,Caltrava 2,Caltrava,Aragon
,29C,Gudar,Castile,Aragon
,29D,Ports,Castile,Valencia
,29E,,Montesa,Valencia
,29F,,Montesa,Valencia
,2A0,,Castile,Aragon
,2A1,,Castile,Aragon
,2A2,,Castile,Aragon
,2A3,Teruel,Castile,Aragon
,2A4,,Castile,Valencia
,2A5,,Castile,Valencia
,2A6,,Castile,Aragon
,2A7,Valencia,Castile,Valencia
,2A8,,Montesa,Valencia
,2A9,Safor,Castile,Valencia
,2AA,Dénia,Castile,Valencia
,2AB,Alcoi,Castile,Valencia
,2AC,Alicante,Castile,Valencia
,2AD,Murcia,Castile,Murcia
,2AE,Molina de Segura,Castile,Murcia
,2AF,Totana,Santiago (C),Murcia
,2B0,Cieza,Santiago (C),Murcia
,2B1,Ontur,Castile,Murcia
,2B2,Almanta,Castile,Murcia
,2B3,Lorca,Castile,Murcia
,2B4,,Santiago (C),Murcia
,2B5,,Castile,Murcia
,2B6,,Santiago (C),Murcia
,2B7,,Castile,Murcia
,2B8,,Santiago (C),Granada
,2B9,,Castile,Murcia
,2BA,,Castile,Murcia
,2BB,,Castile,Valencia
,2BC,,Castile,Murcia
,2BD,,Castile,La Mancha
,2BE,,Castile,La Mancha
,2BF,,Castile,La Mancha
,2C0,,Castile,La Mancha
,2C1,Cuenca,Castile,La Mancha
,2C2,,Castile,La Mancha
,2C3,,Castile,La Mancha
,2C4,,Castile,La Mancha
,2C5,,Castile,La Mancha
,2C6,,Castile,La Mancha
,2C7,,Castile,Castile
,2C8,,Castile,Castile
,2C9,Soria,Castile,Castile
,2CA,,Castile,Castile
,2CB,,Castile,Castile
,2CC,,Castile,Castile
,2CD,,Castile,Navarre
,2CE,,Castile,Navarre
,2CF,San Sebastián,Castile,Navarre
,2D0,,Castile,Navarre
,2D1,,Castile,Navarre
,2D2,,Castile,Castile
,2D3,Santander,Castile,Castile
,2D4,,Castile,Castile
,2D5,,Castile,Castile
,2D6,,Castile,Castile
,2D7,,Castile,Castile
,2D8,,Castile,Castile
,2D9,Burgos,Castile,Castile
,2DA,,Castile,Castile
,2DB,,Castile,Castile
,2DC,,Castile,Castile
,2DD,,Castile,Castile
,2DE,Palencia,Castile,Castile
,2DF,,Castile,Castile
,2E0,,Castile,León
,2E1,,Castile,Castile
,2E2,Valladolid,Castile,Castile
,2E3,,Castile,Castile
,2E4,,Castile,León
,2E5,,Castile,León
,2E6,,Castile,León
,2E7,,Castile,León
,2E8,,Castile,León
,2E9,,Castile,León
,2EA,,Castile,Asturias
,2EB,Gijón,Castile,Asturias
,2EC,Oviedo,Castile,Asturias
,2ED,León,Castile,León
,2EE,,Castile,León
,2EF,,Castile,Asturias
,2F0,,Castile,Asturias
,2F1,,Castile,León
,2F2,,Castile,León
,2F3,,Castile,León
,2F4,Zamora,Castile,León
,2F5,,Castile,León
,2F6,,Castile,Galicia
,2F7,Orense,Castile,Galicia
,2F8,,Castile,Galicia
,2F9,Vigo,Castile,Galicia
,2FA,,Castile,Galicia
,2FB,,Castile,Galicia
,2FC,Lugo,Castile,Galicia
,2FD,,Castile,Galicia
,2FE,,Castile,Galicia
,2FF,Santiago,Castile,Galicia
,300,,Castile,Galicia
,301,,Castile,Galicia
,302,Segovia,Castile,Castile
,303,,Castile,Castile
,304,,Castile,Castile
,305,,Castile,Castile
,306,,Castile,Castile
,307,,Castile,La Mancha
,308,,Castile,La Mancha
,309,,Castile,La Mancha
,30A,,Castile,La Mancha
,30B,,Castile,La Mancha
,30C,,Castile,Castile
,30D,Ávila,Castile,Castile
,30E,Madrid,Castile,La Mancha
,30F,,Castile,La Mancha
,310,,Castile,La Mancha
,311,,Castile,La Mancha
,312,,Castile,La Mancha
,313,,Castile,La Mancha
,314,,Castile,La Mancha
,315,Toledo,Castile,La Mancha
,316,,Castile,La Mancha
,317,,Santiago (C),La Mancha
,318,Tarancón,Santiago (C),La Mancha
,319,,Santiago (C),La Mancha
,31A,,Santiago (C),La Mancha
,31B,,Knights Hospitaller,La Mancha
,31C,,Castile,Murcia
,31D,,Castile,Murcia
,31E,,Santiago (C),Murcia
,31F,,Knights Hospitaller,La Mancha
,320,,Castile,La Mancha
,321,,Castile,La Mancha
,322,,Caltrava,La Mancha
,323,,Santiago (C),La Mancha
,324,,Castile,La Mancha
,325,,Caltrava,La Mancha
,326,Ciudad Real,Castile,La Mancha
